Arabic Conjugation,Baab Name,Arabic Root,Urdu Translation,Meaning,Fael Text,Number,Gender,Person
مَا حَبَسْتُمَا,ضرب,حبس,آپ دو مردوں نے  نہیں  روکا,روکنا,ماضی معروف نفی,تثنیہ,مذکر,حاضر
مَا حَبَسْتُمْ,ضرب,حبس,آپ سب مردوں نے  نہیں  روکا,روکنا,ماضی معروف نفی,جمع,مذکر,حاضر
مَا حَبَسْتِ,ضرب,حبس,آپ (ایک عورت) نے  نہیں  روکا,روکنا,ماضی معروف نفی,واحد,مونث,حاضر
مَا حَبَسْتُمَا,ضرب,حبس,آپ (دو عورتوں) نے  نہیں  روکا,روکنا,ماضی معروف نفی,تثنیہ,مونث,حاضر
مَا حَبَسْتُنَّ,ضرب,حبس,آپ (سب عورتوں) نے  نہیں  روکا,روکنا,ماضی معروف نفی,جمع,مونث,حاضر
مَا حَبَسْتُ,ضرب,حبس,میں (ایک مرد) نے  نہیں  روکا,روکنا,ماضی معروف نفی,واحد,مذکر,متکلم
مَا حَبَسْنَا,ضرب,حبس,ہم (دو مردوں) نے  نہیں  روکا,روکنا,ماضی معروف نفی,تثنیہ,مذکر,متکلم
مَا حَبَسْنَا,ضرب,حبس,ہم (سب مردوں) نے  نہیں  روکا,روکنا,ماضی معروف نفی,جمع,مذکر,متکلم
مَا حَبَسْتُ,ضرب,حبس,میں (ایک عورت) نے  نہیں  روکا,روکنا,ماضی معروف نفی,واحد,مونث,متکلم
مَا حَبَسْنَا,ضرب,حبس,ہم (دو عورتوں) نے  نہیں  روکا,روکنا,ماضی معروف نفی,تثنیہ,مونث,متکلم
مَا حَبَسْنَا,ضرب,حبس,ہم (سب عورتوں) نے  نہیں  روکا,روکنا,ماضی معروف نفی,جمع,مونث,متکلم
یَحْبِسُ,ضرب,حبس,وہ (ایک مرد) روکتا ہے,روکنا,مضارع معروف,واحد,مذکر,غائب
یَحْبِسَانِ,ضرب,حبس,وہ (دو مرد) روکتے ہیں,روکنا,مضارع معروف,تثنیہ,مذکر,غائب
یَحْبِسُوْنَ,ضرب,حبس,وہ (سب مرد) روکتے ہیں,روکنا,مضارع معروف,جمع,مذکر,غائب
تَحْبِسُ,ضرب,حبس,وہ (ایک عورت) روکتی ہے,روکنا,مضارع معروف,واحد,مونث,غائب
تَحْبِسَانِ,ضرب,حبس,وہ (دو عورتیں) روکتی ہیں,روکنا,مضارع معروف,تثنیہ,مونث,غائب
یَحْبِسْنَ,ضرب,حبس,وہ (سب عورتیں) روکتی ہیں,روکنا,مضارع معروف,جمع,مونث,غائب
تَحْبِسُ,ضرب,حبس,آپ (ایک مرد) روکتے ہو,روکنا,مضارع معروف,واحد,مذکر,حاضر
تَحْبِسَانِ,ضرب,حبس,آپ (دو مرد) روکتے ہو,روکنا,مضارع معروف,تثنیہ,مذکر,حاضر
تَحْبِسُوْنَ,ضرب,حبس,آپ (سب مرد) روکتے ہو,روکنا,مضارع معروف,جمع,مذکر,حاضر
تَحْبِسِیْنَ,ضرب,حبس,آپ (ایک عورت) روکتی ہو,روکنا,مضارع معروف,واحد,مونث,حاضر
تَحْبِسَانِ,ضرب,حبس,آپ (دو عورتیں) روکتی ہیں,روکنا,مضارع معروف,تثنیہ,مونث,حاضر
تَحْبِسْنَ,ضرب,حبس,آپ (سب عورتیں) روکتی ہیں,روکنا,مضارع معروف,جمع,مونث,حاضر
اَحْبِسُ,ضرب,حبس,میں (ایک مرد) روکتا ہوں,روکنا,مضارع معروف,واحد,مذکر,متکلم
نَحْبِسُ,ضرب,حبس,ہم (دو مرد) روکتے ہیں,روکنا,مضارع معروف,تثنیہ,مذکر,متکلم
نَحْبِسُ,ضرب,حبس,ہم (سب مرد) روکتے ہیں,روکنا,مضارع معروف,جمع,مذکر,متکلم
اَحْبِسُ,ضرب,حبس,میں (ایک عورت) روکتی ہوں,روکنا,مضارع معروف,واحد,مونث,متکلم
نَحْبِسُ,ضرب,حبس,ہم (دو عورتیں) روکتی ہیں,روکنا,مضارع معروف,تثنیہ,مونث,متکلم
نَحْبِسُ,ضرب,حبس,ہم (سب عورتیں) روکتی ہیں,روکنا,مضارع معروف,جمع,مونث,متکلم
لَا یَحْبِسُ,ضرب,حبس,وہ (ایک مرد)  نہیں روکتا ہے,روکنا,مضارع معروف نفی,واحد,مذکر,غائب
لَا یَحْبِسَانِ,ضرب,حبس,وہ (دو مرد)  نہیں روکتے ہیں,روکنا,مضارع معروف نفی,تثنیہ,مذکر,غائب
لَا یَحْبِسُوْنَ,ضرب,حبس,وہ (سب مرد)  نہیں روکتے ہیں,روکنا,مضارع معروف نفی,جمع,مذکر,غائب
لَا تَحْبِسُ,ضرب,حبس,وہ (ایک عورت)  نہیں روکتی ہے,روکنا,مضارع معروف نفی,واحد,مونث,غائب
لَا تَحْبِسَانِ,ضرب,حبس,وہ (دو عورتیں)  نہیں روکتی ہیں,روکنا,مضارع معروف نفی,تثنیہ,مونث,غائب
لَا یَحْبِسْنَ,ضرب,حبس,وہ (سب عورتیں)  نہیں روکتی ہیں,روکنا,مضارع معروف نفی,جمع,مونث,غائب
لَا تَحْبِسُ,ضرب,حبس,آپ (ایک مرد)  نہیں روکتے ہو,روکنا,مضارع معروف نفی,واحد,مذکر,حاضر
لَا تَحْبِسَانِ,ضرب,حبس,آپ (دو مرد)  نہیں روکتے ہو,روکنا,مضارع معروف نفی,تثنیہ,مذکر,حاضر
لَا تَحْبِسُوْنَ,ضرب,حبس,آپ (سب مرد)  نہیں روکتے ہو,روکنا,مضارع معروف نفی,جمع,مذکر,حاضر
لَا تَحْبِسِیْنَ,ضرب,حبس,آپ (ایک عورت)  نہیں روکتی ہو,روکنا,مضارع معروف نفی,واحد,مونث,حاضر
لَا تَحْبِسَانِ,ضرب,حبس,آپ (دو عورتیں)  نہیں روکتی ہیں,روکنا,مضارع معروف نفی,تثنیہ,مونث,حاضر
لَا تَحْبِسْنَ,ضرب,حبس,آپ (سب عورتیں)  نہیں روکتی ہیں,روکنا,مضارع معروف نفی,جمع,مونث,حاضر
لَا اَحْبِسُ,ضرب,حبس,میں (ایک مرد)  نہیں روکتا ہوں,روکنا,مضارع معروف نفی,واحد,مذکر,متکلم
لَا نَحْبِسُ,ضرب,حبس,ہم (دو مرد)  نہیں روکتے ہیں,روکنا,مضارع معروف نفی,تثنیہ,مذکر,متکلم
لَا نَحْبِسُ,ضرب,حبس,ہم (سب مرد)  نہیں روکتے ہیں,روکنا,مضارع معروف نفی,جمع,مذکر,متکلم
لَا اَحْبِسُ,ضرب,حبس,میں (ایک عورت)  نہیں روکتی ہوں,روکنا,مضارع معروف نفی,واحد,مونث,متکلم
لَا نَحْبِسُ,ضرب,حبس,ہم (دو عورتیں)  نہیں روکتی ہیں,روکنا,مضارع معروف نفی,تثنیہ,مونث,متکلم
لَا نَحْبِسُ,ضرب,حبس,ہم (سب عورتیں)  نہیں روکتی ہیں,روکنا,مضارع معروف نفی,جمع,مونث,متکلم
حَلَقَ,ضرب,حلق,اس (ایک مرد) نے  سر مونڈھا,سر مونڈھنا,ماضی معروف,واحد,مذکر,غائب
حَلَقَا,ضرب,حلق,ان (دو مردوں) نے  سر مونڈھا,سر مونڈھنا,ماضی معروف,تثنیہ,مذکر,غائب
حَلَقُوْا,ضرب,حلق,ان (سب مردوں) نے  سر مونڈھا,سر مونڈھنا,ماضی معروف,جمع,مذکر,غائب
حَلَقَتْ,ضرب,حلق,اس (ایک عورت) نے  سر مونڈھا,سر مونڈھنا,ماضی معروف,واحد,مونث,غائب
حَلَقَتَا,ضرب,حلق,ان (دو عورتوں) نے  سر مونڈھا,سر مونڈھنا,ماضی معروف,تثنیہ,مونث,غائب
حَلَقْنَ,ضرب,حلق,ان (سب عورتوں) نے  سر مونڈھا,سر مونڈھنا,ماضی معروف,جمع,مونث,غائب
حَلَقْتَ,ضرب,حلق,آپ ایک مرد نے  سر مونڈھا,سر مونڈھنا,ماضی معروف,واحد,مذکر,حاضر
حَلَقْتُمَا,ضرب,حلق,آپ دو مردوں نے  سر مونڈھا,سر مونڈھنا,ماضی معروف,تثنیہ,مذکر,حاضر
حَلَقْتُمْ,ضرب,حلق,آپ سب مردوں نے  سر مونڈھا,سر مونڈھنا,ماضی معروف,جمع,مذکر,حاضر
حَلَقْتِ,ضرب,حلق,آپ (ایک عورت) نے  سر مونڈھا,سر مونڈھنا,ماضی معروف,واحد,مونث,حاضر
حَلَقْتُمَا,ضرب,حلق,آپ (دو عورتوں) نے  سر مونڈھا,سر مونڈھنا,ماضی معروف,تثنیہ,مونث,حاضر
حَلَقْتُنَّ,ضرب,حلق,آپ (سب عورتوں) نے  سر مونڈھا,سر مونڈھنا,ماضی معروف,جمع,مونث,حاضر
حَلَقْتُ,ضرب,حلق,میں (ایک مرد) نے  سر مونڈھا,سر مونڈھنا,ماضی معروف,واحد,مذکر,متکلم
حَلَقْنَا,ضرب,حلق,ہم (دو مردوں) نے  سر مونڈھا,سر مونڈھنا,ماضی معروف,تثنیہ,مذکر,متکلم
حَلَقْنَا,ضرب,حلق,ہم (سب مردوں) نے  سر مونڈھا,سر مونڈھنا,ماضی معروف,جمع,مذکر,متکلم
حَلَقْتُ,ضرب,حلق,میں (ایک عورت) نے  سر مونڈھا,سر مونڈھنا,ماضی معروف,واحد,مونث,متکلم
حَلَقْنَا,ضرب,حلق,ہم (دو عورتوں) نے  سر مونڈھا,سر مونڈھنا,ماضی معروف,تثنیہ,مونث,متکلم
حَلَقْنَا,ضرب,حلق,ہم (سب عورتوں) نے  سر مونڈھا,سر مونڈھنا,ماضی معروف,جمع,مونث,متکلم
مَا حَلَقَ,ضرب,حلق,اس (ایک مرد) نے  نہیں  سر مونڈھا,سر مونڈھنا,ماضی معروف نفی,واحد,مذکر,غائب
مَا حَلَقَا,ضرب,حلق,ان (دو مردوں) نے  نہیں  سر مونڈھا,سر مونڈھنا,ماضی معروف نفی,تثنیہ,مذکر,غائب
مَا حَلَقُوْا,ضرب,حلق,ان (سب مردوں) نے  نہیں  سر مونڈھا,سر مونڈھنا,ماضی معروف نفی,جمع,مذکر,غائب
مَا حَلَقَتْ,ضرب,حلق,اس (ایک عورت) نے  نہیں  سر مونڈھا,سر مونڈھنا,ماضی معروف نفی,واحد,مونث,غائب
مَا حَلَقَتَا,ضرب,حلق,ان (دو عورتوں) نے  نہیں  سر مونڈھا,سر مونڈھنا,ماضی معروف نفی,تثنیہ,مونث,غائب
مَا حَلَقْنَ,ضرب,حلق,ان (سب عورتوں) نے  نہیں  سر مونڈھا,سر مونڈھنا,ماضی معروف نفی,جمع,مونث,غائب
مَا حَلَقْتَ,ضرب,حلق,آپ ایک مرد نے  نہیں  سر مونڈھا,سر مونڈھنا,ماضی معروف نفی,واحد,مذکر,حاضر
مَا حَلَقْتُمَا,ضرب,حلق,آپ دو مردوں نے  نہیں  سر مونڈھا,سر مونڈھنا,ماضی معروف نفی,تثنیہ,مذکر,حاضر
مَا حَلَقْتُمْ,ضرب,حلق,آپ سب مردوں نے  نہیں  سر مونڈھا,سر مونڈھنا,ماضی معروف نفی,جمع,مذکر,حاضر
مَا حَلَقْتِ,ضرب,حلق,آپ (ایک عورت) نے  نہیں  سر مونڈھا,سر مونڈھنا,ماضی معروف نفی,واحد,مونث,حاضر
مَا حَلَقْتُمَا,ضرب,حلق,آپ (دو عورتوں) نے  نہیں  سر مونڈھا,سر مونڈھنا,ماضی معروف نفی,تثنیہ,مونث,حاضر
مَا حَلَقْتُنَّ,ضرب,حلق,آپ (سب عورتوں) نے  نہیں  سر مونڈھا,سر مونڈھنا,ماضی معروف نفی,جمع,مونث,حاضر
مَا حَلَقْتُ,ضرب,حلق,میں (ایک مرد) نے  نہیں  سر مونڈھا,سر مونڈھنا,ماضی معروف نفی,واحد,مذکر,متکلم
مَا حَلَقْنَا,ضرب,حلق,ہم (دو مردوں) نے  نہیں  سر مونڈھا,سر مونڈھنا,ماضی معروف نفی,تثنیہ,مذکر,متکلم
مَا حَلَقْنَا,ضرب,حلق,ہم (سب مردوں) نے  نہیں  سر مونڈھا,سر مونڈھنا,ماضی معروف نفی,جمع,مذکر,متکلم
مَا حَلَقْتُ,ضرب,حلق,میں (ایک عورت) نے  نہیں  سر مونڈھا,سر مونڈھنا,ماضی معروف نفی,واحد,مونث,متکلم
مَا حَلَقْنَا,ضرب,حلق,ہم (دو عورتوں) نے  نہیں  سر مونڈھا,سر مونڈھنا,ماضی معروف نفی,تثنیہ,مونث,متکلم
مَا حَلَقْنَا,ضرب,حلق,ہم (سب عورتوں) نے  نہیں  سر مونڈھا,سر مونڈھنا,ماضی معروف نفی,جمع,مونث,متکلم
یَحْلِقُ,ضرب,حلق,وہ (ایک مرد) سر مونڈھتا ہے,سر مونڈھنا,مضارع معروف,واحد,مذکر,غائب
یَحْلِقَانِ,ضرب,حلق,وہ (دو مرد) سر مونڈھتے ہیں,سر مونڈھنا,مضارع معروف,تثنیہ,مذکر,غائب
یَحْلِقُوْنَ,ضرب,حلق,وہ (سب مرد) سر مونڈھتے ہیں,سر مونڈھنا,مضارع معروف,جمع,مذکر,غائب
تَحْلِقُ,ضرب,حلق,وہ (ایک عورت) سر مونڈھتی ہے,سر مونڈھنا,مضارع معروف,واحد,مونث,غائب
تَحْلِقَانِ,ضرب,حلق,وہ (دو عورتیں) سر مونڈھتی ہیں,سر مونڈھنا,مضارع معروف,تثنیہ,مونث,غائب
یَحْلِقْنَ,ضرب,حلق,وہ (سب عورتیں) سر مونڈھتی ہیں,سر مونڈھنا,مضارع معروف,جمع,مونث,غائب
تَحْلِقُ,ضرب,حلق,آپ (ایک مرد) سر مونڈھتے ہو,سر مونڈھنا,مضارع معروف,واحد,مذکر,حاضر
تَحْلِقَانِ,ضرب,حلق,آپ (دو مرد) سر مونڈھتے ہو,سر مونڈھنا,مضارع معروف,تثنیہ,مذکر,حاضر
تَحْلِقُوْنَ,ضرب,حلق,آپ (سب مرد) سر مونڈھتے ہو,سر مونڈھنا,مضارع معروف,جمع,مذکر,حاضر
تَحْلِقِیْنَ,ضرب,حلق,آپ (ایک عورت) سر مونڈھتی ہو,سر مونڈھنا,مضارع معروف,واحد,مونث,حاضر
تَحْلِقَانِ,ضرب,حلق,آپ (دو عورتیں) سر مونڈھتی ہیں,سر مونڈھنا,مضارع معروف,تثنیہ,مونث,حاضر
تَحْلِقْنَ,ضرب,حلق,آپ (سب عورتیں) سر مونڈھتی ہیں,سر مونڈھنا,مضارع معروف,جمع,مونث,حاضر
اَحْلِقُ,ضرب,حلق,میں (ایک مرد) سر مونڈھتا ہوں,سر مونڈھنا,مضارع معروف,واحد,مذکر,متکلم
نَحْلِقُ,ضرب,حلق,ہم (دو مرد) سر مونڈھتے ہیں,سر مونڈھنا,مضارع معروف,تثنیہ,مذکر,متکلم
نَحْلِقُ,ضرب,حلق,ہم (سب مرد) سر مونڈھتے ہیں,سر مونڈھنا,مضارع معروف,جمع,مذکر,متکلم
اَحْلِقُ,ضرب,حلق,میں (ایک عورت) سر مونڈھتی ہوں,سر مونڈھنا,مضارع معروف,واحد,مونث,متکلم
نَحْلِقُ,ضرب,حلق,ہم (دو عورتیں) سر مونڈھتی ہیں,سر مونڈھنا,مضارع معروف,تثنیہ,مونث,متکلم
نَحْلِقُ,ضرب,حلق,ہم (سب عورتیں) سر مونڈھتی ہیں,سر مونڈھنا,مضارع معروف,جمع,مونث,متکلم
لَا یَحْلِقُ,ضرب,حلق,وہ (ایک مرد)  نہیں سر مونڈھتا ہے,سر مونڈھنا,مضارع معروف نفی,واحد,مذکر,غائب
لَا یَحْلِقَانِ,ضرب,حلق,وہ (دو مرد)  نہیں سر مونڈھتے ہیں,سر مونڈھنا,مضارع معروف نفی,تثنیہ,مذکر,غائب
لَا یَحْلِقُوْنَ,ضرب,حلق,وہ (سب مرد)  نہیں سر مونڈھتے ہیں,سر مونڈھنا,مضارع معروف نفی,جمع,مذکر,غائب
لَا تَحْلِقُ,ضرب,حلق,وہ (ایک عورت)  نہیں سر مونڈھتی ہے,سر مونڈھنا,مضارع معروف نفی,واحد,مونث,غائب
لَا تَحْلِقَانِ,ضرب,حلق,وہ (دو عورتیں)  نہیں سر مونڈھتی ہیں,سر مونڈھنا,مضارع معروف نفی,تثنیہ,مونث,غائب
لَا یَحْلِقْنَ,ضرب,حلق,وہ (سب عورتیں)  نہیں سر مونڈھتی ہیں,سر مونڈھنا,مضارع معروف نفی,جمع,مونث,غائب
لَا تَحْلِقُ,ضرب,حلق,آپ (ایک مرد)  نہیں سر مونڈھتے ہو,سر مونڈھنا,مضارع معروف نفی,واحد,مذکر,حاضر
لَا تَحْلِقَانِ,ضرب,حلق,آپ (دو مرد)  نہیں سر مونڈھتے ہو,سر مونڈھنا,مضارع معروف نفی,تثنیہ,مذکر,حاضر
لَا تَحْلِقُوْنَ,ضرب,حلق,آپ (سب مرد)  نہیں سر مونڈھتے ہو,سر مونڈھنا,مضارع معروف نفی,جمع,مذکر,حاضر
لَا تَحْلِقِیْنَ,ضرب,حلق,آپ (ایک عورت)  نہیں سر مونڈھتی ہو,سر مونڈھنا,مضارع معروف نفی,واحد,مونث,حاضر
لَا تَحْلِقَانِ,ضرب,حلق,آپ (دو عورتیں)  نہیں سر مونڈھتی ہیں,سر مونڈھنا,مضارع معروف نفی,تثنیہ,مونث,حاضر
لَا تَحْلِقْنَ,ضرب,حلق,آپ (سب عورتیں)  نہیں سر مونڈھتی ہیں,سر مونڈھنا,مضارع معروف نفی,جمع,مونث,حاضر
لَا اَحْلِقُ,ضرب,حلق,میں (ایک مرد)  نہیں سر مونڈھتا ہوں,سر مونڈھنا,مضارع معروف نفی,واحد,مذکر,متکلم
لَا نَحْلِقُ,ضرب,حلق,ہم (دو مرد)  نہیں سر مونڈھتے ہیں,سر مونڈھنا,مضارع معروف نفی,تثنیہ,مذکر,متکلم
لَا نَحْلِقُ,ضرب,حلق,ہم (سب مرد)  نہیں سر مونڈھتے ہیں,سر مونڈھنا,مضارع معروف نفی,جمع,مذکر,متکلم
لَا اَحْلِقُ,ضرب,حلق,میں (ایک عورت)  نہیں سر مونڈھتی ہوں,سر مونڈھنا,مضارع معروف نفی,واحد,مونث,متکلم
لَا نَحْلِقُ,ضرب,حلق,ہم (دو عورتیں)  نہیں سر مونڈھتی ہیں,سر مونڈھنا,مضارع معروف نفی,تثنیہ,مونث,متکلم
لَا نَحْلِقُ,ضرب,حلق,ہم (سب عورتیں)  نہیں سر مونڈھتی ہیں,سر مونڈھنا,مضارع معروف نفی,جمع,مونث,متکلم
بَعَثَ,فتح,بعث,اس (ایک مرد) نے  بھیجا,بھیجنا,ماضی معروف,واحد,مذکر,غائب
بَعَثَا,فتح,بعث,ان (دو مردوں) نے  بھیجا,بھیجنا,ماضی معروف,تثنیہ,مذکر,غائب
بَعَثُوْا,فتح,بعث,ان (سب مردوں) نے  بھیجا,بھیجنا,ماضی معروف,جمع,مذکر,غائب
بَعَثَتْ,فتح,بعث,اس (ایک عورت) نے  بھیجا,بھیجنا,ماضی معروف,واحد,مونث,غائب
بَعَثَتَا,فتح,بعث,ان (دو عورتوں) نے  بھیجا,بھیجنا,ماضی معروف,تثنیہ,مونث,غائب
بَعَثْنَ,فتح,بعث,ان (سب عورتوں) نے  بھیجا,بھیجنا,ماضی معروف,جمع,مونث,غائب
بَعَثْتَ,فتح,بعث,آپ ایک مرد نے  بھیجا,بھیجنا,ماضی معروف,واحد,مذکر,حاضر
بَعَثْتُمَا,فتح,بعث,آپ دو مردوں نے  بھیجا,بھیجنا,ماضی معروف,تثنیہ,مذکر,حاضر
بَعَثْتُمْ,فتح,بعث,آپ سب مردوں نے  بھیجا,بھیجنا,ماضی معروف,جمع,مذکر,حاضر
بَعَثْتِ,فتح,بعث,آپ (ایک عورت) نے  بھیجا,بھیجنا,ماضی معروف,واحد,مونث,حاضر
بَعَثْتُمَا,فتح,بعث,آپ (دو عورتوں) نے  بھیجا,بھیجنا,ماضی معروف,تثنیہ,مونث,حاضر
بَعَثْتُنَّ,فتح,بعث,آپ (سب عورتوں) نے  بھیجا,بھیجنا,ماضی معروف,جمع,مونث,حاضر
بَعَثْتُ,فتح,بعث,میں (ایک مرد) نے  بھیجا,بھیجنا,ماضی معروف,واحد,مذکر,متکلم
بَعَثْنَا,فتح,بعث,ہم (دو مردوں) نے  بھیجا,بھیجنا,ماضی معروف,تثنیہ,مذکر,متکلم
بَعَثْنَا,فتح,بعث,ہم (سب مردوں) نے  بھیجا,بھیجنا,ماضی معروف,جمع,مذکر,متکلم
بَعَثْتُ,فتح,بعث,میں (ایک عورت) نے  بھیجا,بھیجنا,ماضی معروف,واحد,مونث,متکلم
بَعَثْنَا,فتح,بعث,ہم (دو عورتوں) نے  بھیجا,بھیجنا,ماضی معروف,تثنیہ,مونث,متکلم
بَعَثْنَا,فتح,بعث,ہم (سب عورتوں) نے  بھیجا,بھیجنا,ماضی معروف,جمع,مونث,متکلم
مَا بَعَثَ,فتح,بعث,اس (ایک مرد) نے  نہیں  بھیجا,بھیجنا,ماضی معروف نفی,واحد,مذکر,غائب
مَا بَعَثَا,فتح,بعث,ان (دو مردوں) نے  نہیں  بھیجا,بھیجنا,ماضی معروف نفی,تثنیہ,مذکر,غائب
مَا بَعَثُوْا,فتح,بعث,ان (سب مردوں) نے  نہیں  بھیجا,بھیجنا,ماضی معروف نفی,جمع,مذکر,غائب
مَا بَعَثَتْ,فتح,بعث,اس (ایک عورت) نے  نہیں  بھیجا,بھیجنا,ماضی معروف نفی,واحد,مونث,غائب
مَا بَعَثَتَا,فتح,بعث,ان (دو عورتوں) نے  نہیں  بھیجا,بھیجنا,ماضی معروف نفی,تثنیہ,مونث,غائب
مَا بَعَثْنَ,فتح,بعث,ان (سب عورتوں) نے  نہیں  بھیجا,بھیجنا,ماضی معروف نفی,جمع,مونث,غائب
مَا بَعَثْتَ,فتح,بعث,آپ ایک مرد نے  نہیں  بھیجا,بھیجنا,ماضی معروف نفی,واحد,مذکر,حاضر
مَا بَعَثْتُمَا,فتح,بعث,آپ دو مردوں نے  نہیں  بھیجا,بھیجنا,ماضی معروف نفی,تثنیہ,مذکر,حاضر
مَا بَعَثْتُمْ,فتح,بعث,آپ سب مردوں نے  نہیں  بھیجا,بھیجنا,ماضی معروف نفی,جمع,مذکر,حاضر
مَا بَعَثْتِ,فتح,بعث,آپ (ایک عورت) نے  نہیں  بھیجا,بھیجنا,ماضی معروف نفی,واحد,مونث,حاضر
مَا بَعَثْتُمَا,فتح,بعث,آپ (دو عورتوں) نے  نہیں  بھیجا,بھیجنا,ماضی معروف نفی,تثنیہ,مونث,حاضر
مَا بَعَثْتُنَّ,فتح,بعث,آپ (سب عورتوں) نے  نہیں  بھیجا,بھیجنا,ماضی معروف نفی,جمع,مونث,حاضر
مَا بَعَثْتُ,فتح,بعث,میں (ایک مرد) نے  نہیں  بھیجا,بھیجنا,ماضی معروف نفی,واحد,مذکر,متکلم
مَا بَعَثْنَا,فتح,بعث,ہم (دو مردوں) نے  نہیں  بھیجا,بھیجنا,ماضی معروف نفی,تثنیہ,مذکر,متکلم
مَا بَعَثْنَا,فتح,بعث,ہم (سب مردوں) نے  نہیں  بھیجا,بھیجنا,ماضی معروف نفی,جمع,مذکر,متکلم
مَا بَعَثْتُ,فتح,بعث,میں (ایک عورت) نے  نہیں  بھیجا,بھیجنا,ماضی معروف نفی,واحد,مونث,متکلم
مَا بَعَثْنَا,فتح,بعث,ہم (دو عورتوں) نے  نہیں  بھیجا,بھیجنا,ماضی معروف نفی,تثنیہ,مونث,متکلم
مَا بَعَثْنَا,فتح,بعث,ہم (سب عورتوں) نے  نہیں  بھیجا,بھیجنا,ماضی معروف نفی,جمع,مونث,متکلم
یَبْعَثُ,فتح,بعث,وہ (ایک مرد) بھیجتا ہے,بھیجنا,مضارع معروف,واحد,مذکر,غائب
یَبْعَثَانِ,فتح,بعث,وہ (دو مرد) بھیجتے ہیں,بھیجنا,مضارع معروف,تثنیہ,مذکر,غائب
یَبْعَثُوْنَ,فتح,بعث,وہ (سب مرد) بھیجتے ہیں,بھیجنا,مضارع معروف,جمع,مذکر,غائب
تَبْعَثُ,فتح,بعث,وہ (ایک عورت) بھیجتی ہے,بھیجنا,مضارع معروف,واحد,مونث,غائب
